scenario_id,policy,router,call_index,round,tool,raw_args,normalized_args,json_valid,status,evidence_ids_revealed,new_information,duplicate,relevant,discovery_step,error_class,result_summary
COD-06,full,p0,5,3,list_directory,"{""path"": ""/home""}","{""path"": ""/home""}",True,empty,,False,False,False,False,,"{""empty"": true}"
COD-06,full,p0,6,3,list_directory,"{""path"": ""/root""}","{""path"": ""/root""}",True,empty,,False,False,False,False,,"{""empty"": true}"
COD-06,full,p0,7,3,list_directory,"{""path"": ""/tmp""}","{""path"": ""/tmp""}",True,empty,,False,False,False,False,,"{""empty"": true}"
COD-06,full,p0,8,3,list_directory,"{""path"": ""/opt""}","{""path"": ""/opt""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-01,full,p0,1,1,shell_readonly,"{""command"": ""grep -iE \""failed password|invalid user|accepted password|accepted publickey\"" /var/log/auth.log 2>/dev/null | tail -n 50; echo ---; grep -iE \""failed password|invalid user\"" /var/log/secure 2>/dev/null | tail -n 50""}","{""command"": ""grep -iE \""failed password|invalid user|accepted password|accepted publickey\"" /var/log/auth.log 2>/dev/null | tail -n 50; echo ---; grep -iE \""failed password|invalid user\"" /var/log/secure 2>/dev/null | tail -n 50""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""grep""}"
SEC-01,full,p0,2,1,shell_readonly,"{""command"": ""ss -tlnp | grep -E ':22\\b' ; echo ---; systemctl is-active sshd 2>/dev/null; systemctl is-active ssh 2>/dev/null""}","{""command"": ""ss -tlnp | grep -E ':22\\b' ; echo ---; systemctl is-active sshd 2>/dev/null; systemctl is-active ssh 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
SEC-01,full,p0,3,1,shell_readonly,"{""command"": ""grep -E '^(PermitRootLogin|PasswordAuthentication|PubkeyAuthentication|Port|MaxAuthTries|AllowUsers|AllowGroups|KbdInteractiveAuthentication)' /etc/ssh/sshd_config 2>/dev/null; echo ---; ls /etc/ssh/sshd_config.d/ 2>/dev/null""}","{""command"": ""grep -E '^(PermitRootLogin|PasswordAuthentication|PubkeyAuthentication|Port|MaxAuthTries|AllowUsers|AllowGroups|KbdInteractiveAuthentication)' /etc/ssh/sshd_config 2>/dev/null; echo ---; ls /etc/ssh/sshd_config.d/ 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""grep""}"
SEC-01,full,p0,4,1,shell_readonly,"{""command"": ""command -v fail2ban-client >/dev/null && fail2ban-client status 2>/dev/null; echo ---; iptables -S 2>/dev/null | grep -E '22|DROP|REJECT' | head; echo ---; ufw status 2>/dev/null | head""}","{""command"": ""command -v fail2ban-client >/dev/null && fail2ban-client status 2>/dev/null; echo ---; iptables -S 2>/dev/null | grep -E '22|DROP|REJECT' | head; echo ---; ufw status 2>/dev/null | head""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""command""}"
SEC-01,full,p0,5,2,shell_readonly,"{""command"": ""tail -n 100 /var/log/auth.log""}","{""command"": ""tail -n 100 /var/log/auth.log""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""tail""}"
SEC-01,full,p0,6,2,shell_readonly,"{""command"": ""tail -n 100 /var/log/secure""}","{""command"": ""tail -n 100 /var/log/secure""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""tail""}"
SEC-01,full,p0,7,2,read_file,"{""path"": ""/etc/ssh/sshd_config""}","{""path"": ""/etc/ssh/sshd_config""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
SEC-01,full,p0,8,2,systemctl_status,"{""service"": ""sshd""}","{""service"": ""sshd""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-01,full,p0,9,3,read_file,"{""path"": ""/var/log/auth.log""}","{""path"": ""/var/log/auth.log""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
SEC-01,full,p0,10,3,read_file,"{""path"": ""/var/log/secure""}","{""path"": ""/var/log/secure""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
SEC-01,full,p0,11,3,list_directory,"{""path"": ""/etc/ssh""}","{""path"": ""/etc/ssh""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-01,full,p0,12,3,systemctl_status,"{""service"": ""ssh""}","{""service"": ""ssh""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-02,full,p0,1,1,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""default""}","{""namespace"": ""default"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-02,full,p0,2,2,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""kube-system""}","{""namespace"": ""kube-system"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-02,full,p0,3,2,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""production""}","{""namespace"": ""production"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-02,full,p0,4,3,shell_readonly,"{""command"": ""kubectl get pods -A 2>&1 | head -50""}","{""command"": ""kubectl get pods -A 2>&1 | head -50""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""kubectl""}"
SEC-03,full,p0,1,1,shell_readonly,"{""command"": ""ss -tlnp 2>/dev/null | head -50""}","{""command"": ""ss -tlnp 2>/dev/null | head -50""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
SEC-03,full,p0,2,1,shell_readonly,"{""command"": ""ls /etc/nginx/conf.d/ /etc/nginx/sites-enabled/ /etc/httpd/conf.d/ 2>/dev/null""}","{""command"": ""ls /etc/nginx/conf.d/ /etc/nginx/sites-enabled/ /etc/httpd/conf.d/ 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
SEC-03,full,p0,3,2,list_directory,"{""path"": ""/etc/nginx""}","{""path"": ""/etc/nginx""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-03,full,p0,4,2,list_directory,"{""path"": ""/""}","{""path"": ""/""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-03,full,p0,5,3,shell_readonly,"{""command"": ""netstat -tlnp""}","{""command"": ""netstat -tlnp""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""netstat""}"
SEC-03,full,p0,6,3,shell_readonly,"{""command"": ""ps aux""}","{""command"": ""ps aux""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ps""}"
SEC-04,full,p0,1,1,git_status,"{""repo"": "".""}","{""repo"": "".""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-04,full,p0,2,1,git_diff,"{""repo"": "".""}","{""repo"": "".""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-04,full,p0,3,1,list_directory,"{""path"": "".""}","{""path"": "".""}",True,empty,,False,False,False,False,,"{""empty"": true}"
SEC-04,full,p0,4,2,shell_readonly,"{""command"": ""pwd && ls -la""}","{""command"": ""pwd && ls -la""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""pwd""}"
SEC-04,full,p0,5,3,shell_readonly,"{""command"": ""ls -la /""}","{""command"": ""ls -la /""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
X-01,full,p0,1,1,kubectl_get,"{""resource"": ""pods""}","{""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-01,full,p0,2,1,kubectl_get,"{""resource"": ""services""}","{""resource"": ""services""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-01,full,p0,3,2,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""all""}","{""namespace"": ""all"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-01,full,p0,4,2,kubectl_get,"{""resource"": ""namespaces""}","{""resource"": ""namespaces""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-01,full,p0,5,3,shell_readonly,"{""command"": ""kubectl get pods -A 2>&1; echo \""---\""; kubectl get ns 2>&1; echo \""---\""; kubectl config current-context 2>&1""}","{""command"": ""kubectl get pods -A 2>&1; echo \""---\""; kubectl get ns 2>&1; echo \""---\""; kubectl config current-context 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""kubectl""}"
X-02,full,p0,1,1,shell_readonly,"{""command"": ""date -u; echo ---; for h in api.example.com app.example.com; do echo \""== $h\""; echo | timeout 5 openssl s_client -servername $h -connect $h:443 2>/dev/null | openssl x509 -noout -subject -issuer -dates 2>/dev/null; done""}","{""command"": ""date -u; echo ---; for h in api.example.com app.example.com; do echo \""== $h\""; echo | timeout 5 openssl s_client -servername $h -connect $h:443 2>/dev/null | openssl x509 -noout -subject -issuer -dates 2>/dev/null; done""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""date""}"
X-02,full,p0,2,1,kubectl_get,"{""resource"": ""deployments"", ""namespace"": ""default""}","{""namespace"": ""default"", ""resource"": ""deployments""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-02,full,p0,3,2,shell_readonly,"{""command"": ""date -u +%Y-%m-%dT%H:%M:%SZ""}","{""command"": ""date -u +%Y-%m-%dT%H:%M:%SZ""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""date""}"
X-02,full,p0,4,2,kubectl_get,"{""resource"": ""deployments""}","{""resource"": ""deployments""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-02,full,p0,5,3,shell_readonly,"{""command"": ""hostnamectl""}","{""command"": ""hostnamectl""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""hostnamectl""}"
X-02,full,p0,6,3,kubectl_get,"{""resource"": ""pods""}","{""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-03,full,p0,1,1,shell_readonly,"{""command"": ""df -h""}","{""command"": ""df -h""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""shell_readonly"", ""key"": ""df -h"", ""text"": ""/var/lib 100%""}]}"
X-03,full,p0,2,1,shell_readonly,"{""command"": ""df -i""}","{""command"": ""df -i""}",True,unsupported_command,,True,False,False,False,,"{""unsupported_command"": true, ""family"": ""df""}"
X-03,full,p0,3,2,shell_readonly,"{""command"": ""du -xh --max-depth=1 /var/lib 2>/dev/null | sort -rh | head -20""}","{""command"": ""du -xh --max-depth=1 /var/lib 2>/dev/null | sort -rh | head -20""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""du""}"
X-03,full,p0,4,2,shell_readonly,"{""command"": ""ls -lah /var/lib | head -30""}","{""command"": ""ls -lah /var/lib | head -30""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
X-03,full,p0,5,3,list_directory,"{""path"": ""/var/lib""}","{""path"": ""/var/lib""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-03,full,p0,6,4,systemctl_status,"{""service"": ""postgresql""}","{""service"": ""postgresql""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-03,full,p0,7,4,systemctl_status,"{""service"": ""mysql""}","{""service"": ""mysql""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-03,full,p0,8,4,systemctl_status,"{""service"": ""mariadb""}","{""service"": ""mariadb""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-04,full,p0,1,1,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""default""}","{""namespace"": ""default"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-04,full,p0,2,1,kubectl_get,"{""resource"": ""services"", ""namespace"": ""kube-system""}","{""namespace"": ""kube-system"", ""resource"": ""services""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-04,full,p0,3,2,shell_readonly,"{""command"": ""kubectl get pods -A 2>&1 | head -50""}","{""command"": ""kubectl get pods -A 2>&1 | head -50""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""kubectl""}"
X-04,full,p0,4,2,shell_readonly,"{""command"": ""kubectl get nodes 2>&1; kubectl config current-context 2>&1""}","{""command"": ""kubectl get nodes 2>&1; kubectl config current-context 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""kubectl""}"
X-04,full,p0,5,3,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""kube-system""}","{""namespace"": ""kube-system"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
X-04,full,p0,6,3,kubectl_get,"{""resource"": ""nodes""}","{""resource"": ""nodes""}",True,empty,,False,False,False,False,,"{""empty"": true}"
scenario_id,policy,router,call_index,round,tool,raw_args,normalized_args,json_valid,status,evidence_ids_revealed,new_information,duplicate,relevant,discovery_step,error_class,result_summary
LIN-01,full,p0,1,1,systemctl_status,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""systemctl_status"", ""key"": ""nginx"", ""text"": ""nginx.service failed; Active: failed""}]}"
LIN-01,full,p0,2,1,journalctl_read,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""journalctl_read"", ""key"": ""nginx"", ""text"": ""nginx: [emerg] bind() to 0.0.0.0:80 failed (98: Address already in use)""}]}"
LIN-01,full,p0,3,2,shell_readonly,"{""command"": ""ss -tlnp | grep -E ':80\\b' || netstat -tlnp 2>/dev/null | grep ':80 '""}","{""command"": ""ss -tlnp | grep -E ':80\\b' || netstat -tlnp 2>/dev/null | grep ':80 '""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
LIN-01,full,p0,4,3,shell_readonly,"{""command"": ""netstat -tlnp | grep ':80 '""}","{""command"": ""netstat -tlnp | grep ':80 '""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""netstat""}"
LIN-01,full,p0,5,4,shell_readonly,"{""command"": ""cat /proc/net/tcp | awk 'NR>1 {split($2,a,\"":\""); if (strtonum(\""0x\""a[2])==80) print $2, $4, $10}'""}","{""command"": ""cat /proc/net/tcp | awk 'NR>1 {split($2,a,\"":\""); if (strtonum(\""0x\""a[2])==80) print $2, $4, $10}'""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""cat""}"
LIN-02,full,p0,1,1,shell_readonly,"{""command"": ""df -h /var""}","{""command"": ""df -h /var""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""df""}"
LIN-02,full,p0,2,1,shell_readonly,"{""command"": ""du -xh --max-depth=1 /var 2>/dev/null | sort -rh | head -20""}","{""command"": ""du -xh --max-depth=1 /var 2>/dev/null | sort -rh | head -20""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""du""}"
LIN-02,full,p0,3,2,shell_readonly,"{""command"": ""ls -la /var""}","{""command"": ""ls -la /var""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-02,full,p0,4,3,list_directory,"{""path"": ""/var""}","{""path"": ""/var""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-03,full,p0,1,1,shell_readonly,"{""command"": ""crontab -l 2>/dev/null; echo \""---SYSTEM CRON---\""; ls -la /etc/cron.d/ 2>/dev/null; cat /etc/crontab 2>/dev/null""}","{""command"": ""crontab -l 2>/dev/null; echo \""---SYSTEM CRON---\""; ls -la /etc/cron.d/ 2>/dev/null; cat /etc/crontab 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""crontab""}"
LIN-03,full,p0,2,1,shell_readonly,"{""command"": ""grep -i cron /var/log/syslog 2>/dev/null | tail -50; echo \""---CRON LOG---\""; tail -50 /var/log/cron 2>/dev/null; echo \""---MAIL---\""; ls -la /var/mail/ 2>/dev/null""}","{""command"": ""grep -i cron /var/log/syslog 2>/dev/null | tail -50; echo \""---CRON LOG---\""; tail -50 /var/log/cron 2>/dev/null; echo \""---MAIL---\""; ls -la /var/mail/ 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""grep""}"
LIN-03,full,p0,3,1,systemctl_status,"{""service"": ""cron""}","{""service"": ""cron""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-03,full,p0,4,2,shell_readonly,"{""command"": ""ls -la /etc/cron.d/ /etc/cron.daily/ /var/spool/cron/ 2>&1""}","{""command"": ""ls -la /etc/cron.d/ /etc/cron.daily/ /var/spool/cron/ 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-03,full,p0,5,2,shell_readonly,"{""command"": ""cat /etc/crontab 2>&1""}","{""command"": ""cat /etc/crontab 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""cat""}"
LIN-03,full,p0,6,2,journalctl_read,"{""service"": ""cron""}","{""service"": ""cron""}",True,revealed,E3,True,False,True,True,,"{""revealed"": [{""id"": ""E3"", ""tool"": ""journalctl_read"", ""key"": ""cron"", ""text"": ""backup.sh: /data: No such file or directory""}]}"
LIN-03,full,p0,7,3,journalctl_read,"{""service"": ""CRON""}","{""service"": ""CRON""}",True,revealed,E3,True,False,True,True,,"{""revealed"": [{""id"": ""E3"", ""tool"": ""journalctl_read"", ""key"": ""cron"", ""text"": ""backup.sh: /data: No such file or directory""}]}"
LIN-03,full,p0,8,3,shell_readonly,"{""command"": ""mount | grep -i data""}","{""command"": ""mount | grep -i data""}",True,unsupported_command,,True,False,False,False,,"{""unsupported_command"": true, ""family"": ""mount""}"
LIN-03,full,p0,9,3,shell_readonly,"{""command"": ""df -h""}","{""command"": ""df -h""}",True,unsupported_command,,True,False,False,False,,"{""unsupported_command"": true, ""family"": ""df""}"
LIN-03,full,p0,10,4,shell_readonly,"{""command"": ""ls /data 2>&1""}","{""command"": ""ls /data 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-03,full,p0,11,4,shell_readonly,"{""command"": ""ls /mnt 2>&1""}","{""command"": ""ls /mnt 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-03,full,p0,12,4,shell_readonly,"{""command"": ""cat /proc/mounts 2>&1""}","{""command"": ""cat /proc/mounts 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""cat""}"
LIN-03,full,p0,13,5,read_file,"{""path"": ""/etc/cron.d""}","{""path"": ""/etc/cron.d""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
LIN-03,full,p0,14,5,read_file,"{""path"": ""/data""}","{""path"": ""/data""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
LIN-03,full,p0,15,5,read_file,"{""path"": ""/proc/mounts""}","{""path"": ""/proc/mounts""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
LIN-03,full,p0,16,6,list_directory,"{""path"": ""/etc""}","{""path"": ""/etc""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-03,full,p0,17,6,list_directory,"{""path"": ""/""}","{""path"": ""/""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-04,full,p0,1,1,shell_readonly,"{""command"": ""systemctl --failed --no-pager 2>/dev/null; echo ---; systemctl list-units --type=service --state=running --no-pager 2>/dev/null | head -40""}","{""command"": ""systemctl --failed --no-pager 2>/dev/null; echo ---; systemctl list-units --type=service --state=running --no-pager 2>/dev/null | head -40""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""systemctl""}"
LIN-04,full,p0,2,1,shell_readonly,"{""command"": ""ps aux --sort=-%cpu | head -20""}","{""command"": ""ps aux --sort=-%cpu | head -20""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ps""}"
LIN-04,full,p0,3,2,shell_readonly,"{""command"": ""ls /etc/systemd/system/ 2>/dev/null; ls /opt 2>/dev/null; ls /srv 2>/dev/null""}","{""command"": ""ls /etc/systemd/system/ 2>/dev/null; ls /opt 2>/dev/null; ls /srv 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-04,full,p0,4,2,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""default""}","{""namespace"": ""default"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-04,full,p0,5,3,list_directory,"{""path"": ""/""}","{""path"": ""/""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-04,full,p0,6,3,kubectl_get,"{""resource"": ""pods"", ""namespace"": ""kube-system""}","{""namespace"": ""kube-system"", ""resource"": ""pods""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-05,full,p0,1,1,systemctl_status,"{""service"": ""worker""}","{""service"": ""worker""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""systemctl_status"", ""key"": ""worker"", ""text"": ""worker.service failed; Result: exit-code""}]}"
LIN-05,full,p0,2,1,journalctl_read,"{""service"": ""worker""}","{""service"": ""worker""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""journalctl_read"", ""key"": ""worker"", ""text"": ""worker: ImportError: No module named 'requests'""}]}"
LIN-05,full,p0,3,2,shell_readonly,"{""command"": ""systemctl cat worker 2>/dev/null; echo ---; which python3; python3 -c \""import requests\"" 2>&1; echo ---; ls /usr/lib/python3/dist-packages 2>/dev/null | head; pip3 list 2>/dev/null | grep -i requests""}","{""command"": ""systemctl cat worker 2>/dev/null; echo ---; which python3; python3 -c \""import requests\"" 2>&1; echo ---; ls /usr/lib/python3/dist-packages 2>/dev/null | head; pip3 list 2>/dev/null | grep -i requests""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""systemctl""}"
LIN-05,full,p0,4,3,read_file,"{""path"": ""/etc/systemd/system/worker.service""}","{""path"": ""/etc/systemd/system/worker.service""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
LIN-05,full,p0,5,4,read_file,"{""path"": ""/usr/lib/systemd/system/worker.service""}","{""path"": ""/usr/lib/systemd/system/worker.service""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
NET-01,full,p0,1,1,dns_lookup,"{""hostname"": ""api.internal.example.com""}","{""hostname"": ""api.internal.example.com""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""dns_lookup"", ""key"": ""api.internal.example.com"", ""text"": ""NXDOMAIN""}]}"
NET-01,full,p0,2,1,shell_readonly,"{""command"": ""cat /etc/resolv.conf; echo ---; cat /etc/hosts""}","{""command"": ""cat /etc/resolv.conf; echo ---; cat /etc/hosts""}",True,unsupported_command,,True,False,False,False,,"{""unsupported_command"": true, ""family"": ""cat""}"
NET-01,full,p0,3,2,read_file,"{""path"": ""/etc/resolv.conf""}","{""path"": ""/etc/resolv.conf""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
NET-01,full,p0,4,2,read_file,"{""path"": ""/etc/hosts""}","{""path"": ""/etc/hosts""}",True,not_found,,False,False,False,False,,"{""not_found"": true}"
NET-01,full,p0,5,3,shell_readonly,"{""command"": ""ls -la /etc/resolv.conf /etc/hosts /etc/nsswitch.conf 2>&1""}","{""command"": ""ls -la /etc/resolv.conf /etc/hosts /etc/nsswitch.conf 2>&1""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
NET-01,full,p0,6,3,shell_readonly,"{""command"": ""getent hosts api.internal.example.com 2>&1; echo \""exit=$?\""""}","{""command"": ""getent hosts api.internal.example.com 2>&1; echo \""exit=$?\""""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""getent""}"
NET-01,full,p0,7,4,shell_readonly,"{""command"": ""nslookup api.internal.example.com""}","{""command"": ""nslookup api.internal.example.com""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""nslookup""}"
NET-01,full,p0,8,4,shell_readonly,"{""command"": ""dig api.internal.example.com""}","{""command"": ""dig api.internal.example.com""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""dig""}"
NET-02,full,p0,1,1,shell_readonly,"{""command"": ""date -u; echo ---; ls /etc/ssl/certs 2>/dev/null | head; echo ---; ls /etc/nginx/certs /etc/pki/tls/certs /etc/letsencrypt/live 2>/dev/null""}","{""command"": ""date -u; echo ---; ls /etc/ssl/certs 2>/dev/null | head; echo ---; ls /etc/nginx/certs /etc/pki/tls/certs /etc/letsencrypt/live 2>/dev/null""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""date""}"
NET-02,full,p0,2,1,shell_readonly,"{""command"": ""ss -tlnp 2>/dev/null | head -30 || netstat -tlnp 2>/dev/null | head -30""}","{""command"": ""ss -tlnp 2>/dev/null | head -30 || netstat -tlnp 2>/dev/null | head -30""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
NET-02,full,p0,3,2,shell_readonly,"{""command"": ""ls /etc/letsencrypt/live""}","{""command"": ""ls /etc/letsencrypt/live""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
NET-02,full,p0,4,2,shell_readonly,"{""command"": ""ls /etc/nginx/certs""}","{""command"": ""ls /etc/nginx/certs""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
NET-02,full,p0,5,3,list_directory,"{""path"": ""/etc/letsencrypt/live""}","{""path"": ""/etc/letsencrypt/live""}",True,empty,,False,False,False,False,,"{""empty"": true}"
NET-02,full,p0,6,3,list_directory,"{""path"": ""/etc/nginx""}","{""path"": ""/etc/nginx""}",True,empty,,False,False,False,False,,"{""empty"": true}"
NET-03,full,p0,1,1,shell_readonly,"{""command"": ""ss -lntp | head -50; echo ---; ss -s""}","{""command"": ""ss -lntp | head -50; echo ---; ss -s""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
NET-03,full,p0,2,1,shell_readonly,"{""command"": ""date; echo ---; cat /etc/os-release | head -3; echo ---; nproc; free -h""}","{""command"": ""date; echo ---; cat /etc/os-release | head -3; echo ---; nproc; free -h""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""date;""}"
NET-03,full,p0,3,2,shell_readonly,"{""command"": ""ss -lntp""}","{""command"": ""ss -lntp""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
NET-03,full,p0,4,2,shell_readonly,"{""command"": ""date""}","{""command"": ""date""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""date""}"
NET-03,full,p0,5,3,shell_readonly,"{""command"": ""netstat -lntp""}","{""command"": ""netstat -lntp""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""netstat""}"
NET-03,full,p0,6,3,shell_readonly,"{""command"": ""uptime""}","{""command"": ""uptime""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""uptime""}"
NET-04,full,p0,1,1,dns_lookup,"{""hostname"": ""db.internal""}","{""hostname"": ""db.internal""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""dns_lookup"", ""key"": ""db.internal"", ""text"": ""10.9.9.9 (expected 10.0.0.10)""}]}"
